OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,TotNumberCycles,TotUsingFrozenEggs,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCycle6,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDCansRate6,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDEmbryosRate6,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDImplant6,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDeSETRate6,FshNDHealthSnglLBRate1,FshNDHealthSnglLBRate2,FshNDHealthSnglLBRate3,FshNDHealthSnglLBRate4,FshNDHealthSnglLBRate5,FshNDHealthSnglLBRate6,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDSnglLBRate6,FshNDTwinlLBRate1,FshNDTwinlLBRate2,FshNDTwinlLBRate3,FshNDTwinlLBRate4,FshNDTwinlLBRate5,FshNDTwinlLBRate6,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDLvBirthsRate6,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDPregRate6,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDTransfers6,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,FshNDHealthSnglLB_TransRate6,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDSnglLB_TransRate6,FshNDTwinLB_TransRate1,FshNDTwinLB_TransRate2,FshNDTwinLB_TransRate3,FshNDTwinLB_TransRate4,FshNDTwinLB_TransRate5,FshNDTwinLB_TransRate6,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDLvBirths_TransRate6,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDTransPregRate6,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTotCycles6,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDTransfers6,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEstTransPerRetrievRate6,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDEmbryosRate6,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDImplant6,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,ThwNDHealthSnglLB_TransRate6,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDSnglLB_TransRate6,ThwNDTwinLB_TransRate1,ThwNDTwinLB_TransRate2,ThwNDTwinLB_TransRate3,ThwNDTwinLB_TransRate4,ThwNDTwinLB_TransRate5,ThwNDTwinLB_TransRate6,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDLvBirths_TransRate6,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDTransPregRate6,TotBankingCycles1,TotBankingCycles2,TotBankingCycles3,TotBankingCycles4,TotBankingCycles5,TotBankingCycles6,FshDnrTotCycles,ThwDnrTotCycles,FshDnrTransfers,ThwDnrTransfers,FshDnrEmbryosRate,ThwDnrEmbryosRate,FshDnrImplant,ThwDnrImplant,FshDnrHealthSnglLB_TransRate,ThwDnrHealthSnglLB_TransRate,FshDnrSnglLB_TransRate,ThwDnrSnglLB_TransRate,FshDnrTwinLB_TransRate,ThwDnrTwinLB_TransRate,FshDnrLvBirths_TransRate,ThwDnrLvBirths_TransRate,FshDnrTransPregRate,ThwDnrTransPregRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
135,"REPRODUCTIVE HEALTH ASSOCIATES, PA","CATHERINE L. COWART, MD, FACOG",TAMPA,FLORIDA,100%,64%,0%,0%,0%,38%,11%,8%,5%,0%,51%,68%,0%,30%,35%,37,0,"Catherine L. Cowart, MD",12,10,9,2,0,0,1 / 12,3 / 10,4 / 9,0 / 2,,,2.0,2.4,3.2,4.0,,,35.0,1 / 9,2 / 16,0 / 8,,,0 / 10,0 / 5,0 / 5,0 / 2,,,4 / 12,0 / 10,1 / 9,0 / 2,,,5 / 12,0 / 10,2 / 9,0 / 2,,,0 / 12,0 / 10,0 / 9,0 / 2,,,5 / 12,0 / 10,2 / 9,0 / 2,,,8 / 12,2 / 10,2 / 9,0 / 2,,,11,5,5,2,0,0,4 / 11,0 / 5,1 / 5,0 / 2,,,5 / 11,0 / 5,2 / 5,0 / 2,,,0 / 11,0 / 5,0 / 5,0 / 2,,,5 / 11,0 / 5,2 / 5,0 / 2,,,8 / 11,2 / 5,2 / 5,0 / 2,,,0,1,2,0,0,0,0,1,2,0,0,0,,1.0,2.0,,,,,2.0,2.5,,,,,0 / 2,0 / 5,,,,,0 / 1,0 / 2,,,,,0 / 1,0 / 2,,,,,0 / 1,0 / 2,,,,,0 / 1,0 / 2,,,,,0 / 1,0 / 2,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,"Reproductive Health Associates, PA, Catherine L. Cowart, MD, FACOG",Yes,No,Yes,No,Yes,No,Yes,0,FL
136,THE REPRODUCTIVE MEDICINE GROUP,,TAMPA,FLORIDA,100%,45%,0%,0%,<1%,21%,11%,13%,13%,<1%,39%,5%,19%,7%,13%,646,3,"Timothy Yeko, MD",178,115,60,29,7,0,4.5,7.8,20.0,10.3,2 / 7,,1.7,2.0,2.7,3.2,2.8,,37.8,26.2,12.3,10.0,0 / 14,,27.1,4.6,0.0,4.3,0 / 3,,23.6,20.9,10.0,10.3,0 / 7,,26.4,23.5,16.7,10.3,0 / 7,,11.8,7.0,1.7,6.9,0 / 7,,38.8,30.4,18.3,17.2,0 / 7,,42.1,34.8,20.0,20.7,0 / 7,,160,98,44,25,5,0,26.3,24.5,13.6,12.0,0 / 5,,29.4,27.6,22.7,12.0,0 / 5,,13.1,8.2,2.3,8.0,0 / 5,,43.1,35.7,25.0,20.0,0 / 5,,46.9,40.8,27.3,24.0,0 / 5,,86,23,19,6,1,0,82,22,16,6,1,0,2.0,1.6,1.8,1.5,0.5,,1.5,1.7,1.5,1.8,1.0,,51.3,35.3,45.8,6 / 11,0 / 1,,26.8,31.8,7 / 16,4 / 6,0 / 1,,32.9,31.8,8 / 16,4 / 6,0 / 1,,17.1,9.1,0 / 16,1 / 6,0 / 1,,50.0,40.9,8 / 16,5 / 6,0 / 1,,59.8,54.5,9 / 16,5 / 6,0 / 1,,9,5,4,4,2,0,61,34,53,34,1.7,1.4,51.8,42.2,39.6,50.0,43.4,52.9,15.1,0.0,58.5,52.9,71.7,61.8,The Reproductive Medicine Group,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
137,UNIVERSITY OF SOUTH FLORIDA IVF,,TAMPA,FLORIDA,100%,63%,2%,5%,6%,19%,11%,27%,6%,12%,36%,12%,8%,8%,17%,252,2,"Shayne Plosker, MD",59,30,36,13,8,1,6.8,0.0,16.7,4 / 13,4 / 8,0 / 1,1.8,2.0,2.8,3.6,3.7,1.0,45.1,23.6,17.3,4.0,1 / 9,0 / 1,21.6,14.8,3.8,0 / 6,0 / 3,,27.1,10.0,16.7,1 / 13,0 / 8,0 / 1,32.2,13.3,19.4,1 / 13,1 / 8,0 / 1,16.9,13.3,8.3,0 / 13,0 / 8,0 / 1,49.2,26.7,27.8,1 / 13,1 / 8,0 / 1,50.8,36.7,30.6,1 / 13,2 / 8,0 / 1,51,30,28,7,3,1,31.4,10.0,21.4,1 / 7,0 / 3,0 / 1,37.3,13.3,25.0,1 / 7,1 / 3,0 / 1,19.6,13.3,10.7,0 / 7,0 / 3,0 / 1,56.9,26.7,35.7,1 / 7,1 / 3,0 / 1,58.8,36.7,39.3,1 / 7,2 / 3,0 / 1,29,16,12,8,0,0,26,16,11,7,0,0,3.7,1.3,11.0,3.5,,,2.0,1.7,1.7,1.9,,,49.0,51.9,4 / 19,5 / 11,,,19.2,4 / 16,2 / 11,1 / 7,,,30.8,4 / 16,2 / 11,1 / 7,,,23.1,5 / 16,1 / 11,2 / 7,,,53.8,9 / 16,3 / 11,3 / 7,,,57.7,9 / 16,3 / 11,4 / 7,,,0,0,0,0,0,0,25,13,23,12,1.7,1.7,71.1,35.0,26.1,7 / 12,26.1,7 / 12,30.4,0 / 12,56.5,7 / 12,82.6,7 / 12,University of South Florida IVF,Yes,Yes,Yes,Yes,Yes,Yes,No,0,FL
138,F.I.R.S.T.,FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCES AND TECHNOLOGIES,WESTON,FLORIDA,96%,81%,0%,4%,0%,16%,13%,86%,7%,5%,27%,2%,0%,16%,23%,56,0,"Minna R. Selub, MD",11,5,8,2,0,0,1 / 11,0 / 5,0 / 8,0 / 2,,,2.1,2.0,2.1,1.5,,,28.6,1 / 6,0 / 15,0 / 3,,,0 / 9,0 / 2,0 / 5,0 / 1,,,1 / 11,1 / 5,0 / 8,0 / 2,,,1 / 11,1 / 5,0 / 8,0 / 2,,,2 / 11,0 / 5,0 / 8,0 / 2,,,3 / 11,1 / 5,0 / 8,0 / 2,,,3 / 11,1 / 5,0 / 8,0 / 2,,,10,3,7,2,0,0,1 / 10,1 / 3,0 / 7,0 / 2,,,1 / 10,1 / 3,0 / 7,0 / 2,,,2 / 10,0 / 3,0 / 7,0 / 2,,,3 / 10,1 / 3,0 / 7,0 / 2,,,3 / 10,1 / 3,0 / 7,0 / 2,,,1,0,1,0,0,0,1,0,1,0,0,0,1.0,,,,,,4.0,,2.0,,,,1 / 4,,0 / 2,,,,1 / 1,,0 / 1,,,,1 / 1,,0 / 1,,,,0 / 1,,0 / 1,,,,1 / 1,,0 / 1,,,,1 / 1,,0 / 1,,,,0,0,0,0,0,0,28,0,28,0,2.7,,17.3,,3.6,,10.7,,10.7,,21.4,,35.7,,"F.I.R.S.T., Florida Institute for Reproductive Sciences and Technologies",Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL
139,FERTILITY CENTER OF ASSISTED REPRODUCTION & ENDOCRINOLOGY,,WINTER PARK,FLORIDA,100%,72%,0%,0%,6%,14%,9%,53%,9%,3%,22%,7%,9%,13%,11%,225,0,"Mark P. Trolice, MD",43,27,28,7,1,3,4.7,0.0,14.3,2 / 7,0 / 1,2 / 3,2.1,2.4,3.1,4.0,3.0,4.0,39.3,32.3,11.6,15.0,0 / 3,1 / 4,0.0,0.0,0.0,0 / 5,0 / 1,0 / 1,11.6,14.8,3.6,1 / 7,0 / 1,0 / 3,18.6,14.8,7.1,1 / 7,0 / 1,1 / 3,27.9,22.2,3.6,0 / 7,0 / 1,0 / 3,46.5,37.0,10.7,1 / 7,0 / 1,1 / 3,53.5,51.9,25.0,3 / 7,0 / 1,1 / 3,41,27,23,5,1,1,12.2,14.8,4.3,1 / 5,0 / 1,0 / 1,19.5,14.8,8.7,1 / 5,0 / 1,1 / 1,29.3,22.2,4.3,0 / 5,0 / 1,0 / 1,48.8,37.0,13.0,1 / 5,0 / 1,1 / 1,56.1,51.9,30.4,3 / 5,0 / 1,1 / 1,20,16,5,5,1,1,18,12,4,5,1,1,1.1,0.8,0.3,1.0,0.3,,2.1,2.0,3.0,2.2,5.0,1.0,40.5,54.2,1 / 4,0 / 11,0 / 5,0 / 1,8 / 18,3 / 12,1 / 4,0 / 5,0 / 1,0 / 1,8 / 18,4 / 12,1 / 4,0 / 5,0 / 1,0 / 1,2 / 18,2 / 12,0 / 4,0 / 5,0 / 1,0 / 1,10 / 18,6 / 12,1 / 4,0 / 5,0 / 1,0 / 1,12 / 18,9 / 12,3 / 4,0 / 5,0 / 1,0 / 1,12,9,12,4,2,0,15,14,15,12,1.7,1.8,48.0,45.5,4 / 15,5 / 12,4 / 15,5 / 12,3 / 15,2 / 12,7 / 15,7 / 12,8 / 15,8 / 12,Fertility Center of Assisted Reproduction & Endocrinology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
140,ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,,ATLANTA,GEORGIA,100%,76%,<1%,1%,7%,16%,15%,30%,11%,3%,17%,18%,14%,15%,9%,799,51,"James P. Toner, MD, PhD",214,126,88,26,18,1,2.3,12.7,13.6,7.7,2 / 18,0 / 1,1.8,2.1,2.3,2.4,2.0,,48.6,35.2,21.7,18.4,1 / 18,,19.0,4.8,3.6,0 / 12,0 / 6,,23.4,15.9,9.1,15.4,0 / 18,0 / 1,27.6,19.8,15.9,15.4,0 / 18,0 / 1,16.4,11.9,3.4,3.8,0 / 18,0 / 1,44.4,31.7,19.3,19.2,0 / 18,0 / 1,52.3,36.5,26.1,23.1,1 / 18,0 / 1,179,89,60,16,9,0,27.9,22.5,13.3,4 / 16,0 / 9,,33.0,28.1,23.3,4 / 16,0 / 9,,19.6,16.9,5.0,1 / 16,0 / 9,,53.1,44.9,28.3,5 / 16,0 / 9,,62.6,51.7,38.3,6 / 16,1 / 9,,88,45,31,3,2,0,86,40,29,3,2,0,1.4,1.1,1.6,1.0,,,1.6,1.5,1.5,2.3,2.0,,37.4,36.7,43.2,4 / 7,0 / 4,,27.9,22.5,41.4,1 / 3,0 / 2,,31.4,30.0,51.7,1 / 3,0 / 2,,9.3,10.0,3.4,0 / 3,0 / 2,,40.7,40.0,55.2,2 / 3,0 / 2,,50.0,42.5,55.2,2 / 3,0 / 2,,14,15,8,3,0,0,38,28,33,26,1.9,1.6,55.2,26.8,33.3,30.8,33.3,38.5,21.2,0.0,57.6,38.5,69.7,46.2,Atlanta Center for Reproductive Medicine,Yes,No,Yes,Yes,Yes,Yes,Yes,0,GA
141,EMORY REPRODUCTIVE CENTER,,ATLANTA,GEORGIA,100%,77%,0%,0%,1%,34%,21%,40%,13%,15%,36%,6%,10%,27%,29%,272,0,"Jessica B. Spencer, MD",79,43,28,18,3,0,11.4,4.7,10.7,4 / 18,1 / 3,,1.9,2.1,3.2,3.9,4.5,,54.5,57.0,17.3,11.8,1 / 5,,11.9,7.5,0.0,0 / 14,0 / 2,,27.8,41.9,21.4,1 / 18,1 / 3,,39.2,51.2,25.0,2 / 18,1 / 3,,19.0,20.9,3.6,0 / 18,0 / 3,,58.2,72.1,28.6,2 / 18,1 / 3,,67.1,76.7,42.9,5 / 18,2 / 3,,69,40,25,14,2,0,31.9,45.0,24.0,1 / 14,1 / 2,,44.9,55.0,28.0,2 / 14,1 / 2,,21.7,22.5,4.0,0 / 14,0 / 2,,66.7,77.5,32.0,2 / 14,1 / 2,,76.8,82.5,48.0,5 / 14,2 / 2,,25,21,22,3,1,0,25,17,19,3,1,0,1.3,2.1,3.8,0.4,,,1.9,2.2,2.7,2.7,3.0,,41.7,27.0,30.6,0 / 8,0 / 3,,32.0,3 / 17,3 / 19,0 / 3,0 / 1,,32.0,4 / 17,4 / 19,0 / 3,0 / 1,,20.0,2 / 17,2 / 19,0 / 3,0 / 1,,52.0,6 / 17,7 / 19,0 / 3,0 / 1,,56.0,7 / 17,10 / 19,0 / 3,0 / 1,,9,4,1,5,0,0,4,6,4,6,2.0,2.2,5 / 8,3 / 13,2 / 4,0 / 6,2 / 4,0 / 6,1 / 4,1 / 6,3 / 4,1 / 6,3 / 4,2 / 6,This clinic has closed or reorganized since 2013.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,,0,GA
142,"GEORGIA REPRODUCTIVE SPECIALISTS, LLC",,ATLANTA,GEORGIA,100%,59%,<1%,2%,13%,22%,21%,34%,8%,3%,32%,15%,8%,19%,19%,451,8,"Mark Perloe, MD",98,42,47,14,4,0,5.1,4.8,8.5,1 / 14,1 / 4,,2.0,2.3,2.3,2.6,4.5,,29.9,24.3,14.7,7.7,0 / 9,,9.6,6.1,0.0,0 / 8,0 / 2,,17.3,11.9,12.8,2 / 14,0 / 4,,21.4,16.7,14.9,2 / 14,0 / 4,,9.2,11.9,2.1,0 / 14,0 / 4,,30.6,28.6,17.0,2 / 14,0 / 4,,37.8,33.3,25.5,2 / 14,0 / 4,,75,34,33,10,2,0,22.7,14.7,18.2,2 / 10,0 / 2,,28.0,20.6,21.2,2 / 10,0 / 2,,12.0,14.7,3.0,0 / 10,0 / 2,,40.0,35.3,24.2,2 / 10,0 / 2,,49.3,41.2,36.4,2 / 10,0 / 2,,69,44,37,6,3,2,65,42,35,6,2,2,1.6,2.6,1.7,3.0,,,1.6,1.7,1.5,1.3,2.5,1.5,25.8,35.4,29.6,2 / 8,2 / 5,0 / 3,18.5,33.3,25.7,1 / 6,2 / 2,0 / 2,24.6,40.5,25.7,2 / 6,2 / 2,0 / 2,3.1,4.8,5.7,0 / 6,0 / 2,0 / 2,27.7,45.2,31.4,2 / 6,2 / 2,0 / 2,40.0,57.1,40.0,2 / 6,2 / 2,0 / 2,13,4,7,1,0,0,21,31,19,29,1.8,1.9,62.9,24.1,6 / 19,24.1,7 / 19,34.5,6 / 19,3.4,13 / 19,37.9,13 / 19,41.4,"Georgia Reproductive Specialists, LLC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,GA
143,REPRODUCTIVE MEDICINE AND INFERTILITY ASSOCIATES,,AUGUSTA,GEORGIA,100%,49%,0%,0%,0%,33%,16%,26%,7%,2%,23%,2%,9%,7%,12%,45,0,"Larisa Gavrilova-Jordan, MD",19,7,4,3,0,0,2 / 19,1 / 7,1 / 4,0 / 3,,,1.8,2.4,2.3,2.3,,,36.7,2 / 12,2 / 7,0 / 4,,,4 / 16,0 / 5,0 / 3,0 / 3,,,5 / 19,1 / 7,0 / 4,0 / 3,,,5 / 19,2 / 7,0 / 4,0 / 3,,,3 / 19,0 / 7,1 / 4,0 / 3,,,8 / 19,2 / 7,1 / 4,0 / 3,,,9 / 19,2 / 7,1 / 4,1 / 3,,,17,5,3,3,0,0,5 / 17,1 / 5,0 / 3,0 / 3,,,5 / 17,2 / 5,0 / 3,0 / 3,,,3 / 17,0 / 5,1 / 3,0 / 3,,,8 / 17,2 / 5,1 / 3,0 / 3,,,9 / 17,2 / 5,1 / 3,1 / 3,,,6,0,2,0,0,0,5,0,2,0,0,0,0.8,,,0.0,,,1.6,,2.0,,,,2 / 8,,2 / 4,,,,1 / 5,,0 / 2,,,,2 / 5,,0 / 2,,,,0 / 5,,1 / 2,,,,2 / 5,,1 / 2,,,,2 / 5,,1 / 2,,,,1,0,0,1,0,0,2,0,2,0,1.5,,4 / 3,,1 / 2,,1 / 2,,1 / 2,,2 / 2,,2 / 2,,Reproductive Medicine and Infertility Associates,Yes,No,Yes,No,Yes,Yes,Yes,0,GA
144,SERVY MASSEY FERTILITY INSTITUTE,SERVY INSTITUTE FOR REPRODUCTIVE ENDOCRINOLOGY,AUGUSTA,GEORGIA,100%,58%,0%,0%,5%,22%,10%,29%,7%,2%,33%,10%,4%,9%,7%,284,1,"Edouard Servy, MD",98,38,30,15,6,6,12.2,21.1,6.7,1 / 15,1 / 6,0 / 6,2.1,2.2,2.3,2.2,2.0,2.4,25.7,27.3,7.0,7.7,1 / 10,0 / 12,1.5,0.0,8.3,0 / 6,0 / 4,0 / 5,14.3,15.8,10.0,2 / 15,1 / 6,0 / 6,17.3,15.8,10.0,2 / 15,1 / 6,0 / 6,5.1,10.5,0.0,0 / 15,0 / 6,0 / 6,22.4,26.3,10.0,2 / 15,1 / 6,0 / 6,29.6,31.6,16.7,2 / 15,1 / 6,0 / 6,72,26,26,12,5,5,19.4,23.1,11.5,2 / 12,1 / 5,0 / 5,23.6,23.1,11.5,2 / 12,1 / 5,0 / 5,6.9,15.4,0.0,0 / 12,0 / 5,0 / 5,30.6,38.5,11.5,2 / 12,1 / 5,0 / 5,40.3,46.2,19.2,2 / 12,1 / 5,0 / 5,40,13,8,2,0,1,38,13,8,1,0,1,1.5,1.3,4.0,,,,1.8,2.2,2.1,2.0,,2.0,26.9,7.7,2 / 17,0 / 2,,1 / 2,15.8,1 / 13,1 / 8,0 / 1,,0 / 1,21.1,2 / 13,2 / 8,0 / 1,,0 / 1,5.3,0 / 13,0 / 8,0 / 1,,0 / 1,26.3,2 / 13,2 / 8,0 / 1,,0 / 1,39.5,3 / 13,2 / 8,0 / 1,,1 / 1,2,1,0,0,0,0,13,10,10,10,2.1,1.9,42.9,6 / 17,4 / 10,2 / 10,4 / 10,2 / 10,2 / 10,1 / 10,6 / 10,3 / 10,6 / 10,5 / 10,"Servy Massey Fertility Institute, Servy Institute for Reproductive Endocrinology",Yes,No,Yes,No,Yes,Yes,Yes,0,GA
145,"COLUMBUS CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY, LLC",,COLUMBUS,GEORGIA,100%,90%,0%,0%,2%,46%,82%,12%,36%,26%,58%,0%,0%,34%,57%,78,0,"Prakash J. Thiruppathi, MD",34,17,6,1,0,0,8.8,2 / 17,0 / 6,0 / 1,,,1.9,2.0,2.4,2.0,,,48.0,21.4,0 / 12,0 / 2,,,23.1,1 / 12,0 / 5,0 / 1,,,32.4,3 / 17,0 / 6,0 / 1,,,35.3,5 / 17,0 / 6,0 / 1,,,11.8,0 / 17,0 / 6,0 / 1,,,47.1,5 / 17,0 / 6,0 / 1,,,55.9,5 / 17,0 / 6,0 / 1,,,28,14,5,1,0,0,39.3,3 / 14,0 / 5,0 / 1,,,42.9,5 / 14,0 / 5,0 / 1,,,14.3,0 / 14,0 / 5,0 / 1,,,57.1,5 / 14,0 / 5,0 / 1,,,67.9,5 / 14,0 / 5,0 / 1,,,7,1,2,1,0,0,7,1,2,1,0,0,2.3,,1.0,1.0,,,2.0,3.0,2.0,2.0,,,1 / 12,2 / 3,0 / 4,0 / 2,,,1 / 7,0 / 1,0 / 2,0 / 1,,,1 / 7,0 / 1,0 / 2,0 / 1,,,0 / 7,1 / 1,0 / 2,0 / 1,,,1 / 7,1 / 1,0 / 2,0 / 1,,,2 / 7,1 / 1,0 / 2,0 / 1,,,0,0,1,0,0,0,6,2,5,2,2.0,2.5,7 / 8,2 / 5,1 / 5,1 / 2,1 / 5,2 / 2,3 / 5,0 / 2,4 / 5,2 / 2,5 / 5,2 / 2,"Columbus Center for Reproductive Endocrinology and Infertility, LLC",Yes,Yes,Yes,Yes,Yes,No,Yes,0,GA
146,REPRODUCTIVE BIOLOGY ASSOCIATES,,SANDY SPRINGS,GEORGIA,100%,83%,0%,0%,<1%,9%,13%,54%,9%,3%,29%,18%,8%,18%,20%,"1,648",304,"Daniel Shapiro, MD",171,66,91,30,23,3,11.1,18.2,20.9,13.3,39.1,1 / 3,1.4,1.7,2.4,3.0,3.2,1.5,37.1,22.6,12.2,21.3,5.3,0 / 3,60.0,42.6,7.6,9.5,0 / 13,0 / 1,24.6,18.2,12.1,23.3,4.3,0 / 3,27.5,21.2,13.2,26.7,8.7,0 / 3,5.3,0.0,2.2,3.3,0.0,0 / 3,32.7,21.2,15.4,30.0,8.7,0 / 3,42.1,25.8,25.3,43.3,13.0,0 / 3,150,50,69,23,13,2,28.0,24.0,15.9,30.4,1 / 13,0 / 2,31.3,28.0,17.4,34.8,2 / 13,0 / 2,6.0,0.0,2.9,4.3,0 / 13,0 / 2,37.3,28.0,20.3,39.1,2 / 13,0 / 2,48.0,34.0,33.3,56.5,3 / 13,0 / 2,221,131,102,38,18,4,220,131,101,37,15,3,1.5,2.0,1.3,0.9,1.0,0.6,1.5,1.5,1.8,2.0,2.5,2.0,56.4,42.2,25.6,22.9,21.6,2 / 6,41.4,29.8,21.8,18.9,4 / 15,1 / 3,46.8,35.9,27.7,21.6,4 / 15,2 / 3,11.4,9.2,3.0,2.7,2 / 15,0 / 3,58.6,45.0,30.7,27.0,6 / 15,2 / 3,70.0,55.7,43.6,40.5,6 / 15,2 / 3,97,48,59,35,13,4,6,184,6,182,1.2,1.4,5 / 7,41.7,5 / 6,24.7,5 / 6,36.3,0 / 6,4.4,5 / 6,40.7,5 / 6,53.8,Reproductive Biology Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,GA
147,THE GEORGIA CENTER FOR REPRODUCTIVE MEDICINE,,SAVANNAH,GEORGIA,100%,62%,0%,0%,0%,19%,21%,32%,10%,3%,56%,1%,1%,10%,31%,145,1,"Patrick L. Blohm, MD",51,21,16,3,0,0,2.0,0.0,3 / 16,1 / 3,,,1.9,2.0,2.0,2.0,,,54.3,31.6,29.2,1 / 4,,,6.4,0 / 19,0 / 13,0 / 2,,,29.4,23.8,4 / 16,0 / 3,,,35.3,38.1,5 / 16,1 / 3,,,15.7,9.5,1 / 16,0 / 3,,,56.9,47.6,6 / 16,1 / 3,,,66.7,52.4,7 / 16,1 / 3,,,49,20,13,2,0,0,30.6,25.0,4 / 13,0 / 2,,,36.7,40.0,5 / 13,1 / 2,,,16.3,10.0,1 / 13,0 / 2,,,59.2,50.0,6 / 13,1 / 2,,,69.4,55.0,7 / 13,1 / 2,,,19,9,5,1,0,1,19,9,4,1,0,1,3.8,9.0,2.0,1.0,,,2.0,1.8,1.3,2.0,,2.0,15.8,3 / 15,0 / 5,0 / 2,,0 / 2,4 / 19,1 / 9,0 / 4,0 / 1,,0 / 1,4 / 19,2 / 9,0 / 4,0 / 1,,0 / 1,0 / 19,0 / 9,0 / 4,0 / 1,,0 / 1,4 / 19,2 / 9,0 / 4,0 / 1,,0 / 1,6 / 19,4 / 9,0 / 4,0 / 1,,0 / 1,0,0,0,0,0,0,12,6,12,6,1.9,1.7,82.6,3 / 10,5 / 12,1 / 6,6 / 12,1 / 6,5 / 12,1 / 6,12 / 12,2 / 6,12 / 12,2 / 6,The Georgia Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,GA
