Clinic Table Data Dictionary,,,
Variable,Label,Type,Size
FshNDCansRate4,(Fresh Nondonor Eggs) Cancellations per 100 cycles 41-42,Text,7
FshNDCansRate5,(Fresh Nondonor Eggs) Cancellations per 100 cycles 43-44,Text,7
FshNDCansRate6,(Fresh Nondonor Eggs) Cancellations per 100 cycles >44,Text,7
FshNDEmbryosRate1,(Fresh Nondonor Eggs) Average number of embryos transferred <35,Text,7
FshNDEmbryosRate2,(Fresh Nondonor Eggs) Average number of embryos transferred 35-37,Text,7
FshNDEmbryosRate3,(Fresh Nondonor Eggs) Average number of embryos transferred 38-40,Text,7
FshNDEmbryosRate4,(Fresh Nondonor Eggs) Average number of embryos transferred 41-42,Text,7
FshNDEmbryosRate5,(Fresh Nondonor Eggs) Average number of embryos transferred 43-44,Text,7
FshNDEmbryosRate6,(Fresh Nondonor Eggs) Average number of embryos transferred >44,Text,7
FshNDImplant1,(Fresh Nondonor Eggs) Implantation rate per 100 cycles <35,Text,7
FshNDImplant2,(Fresh Nondonor Eggs) Implantation rate per 100 cycles 35-37,Text,7
FshNDImplant3,(Fresh Nondonor Eggs) Implantation rate per 100 cycles 38-40,Text,7
FshNDImplant4,(Fresh Nondonor Eggs) Implantation rate per 100 cycles 41-42,Text,7
FshNDImplant5,(Fresh Nondonor Eggs) Implantation rate per 100 cycles 43-44,Text,7
FshNDImplant6,(Fresh Nondonor Eggs) Implantation rate per 100 cycles >44,Text,7
FshNDeSETRate1,(Fresh Nondonor Eggs) Elective single embryo transfers (eSET) per 100 cycles <35,Text,7
FshNDeSETRate2,(Fresh Nondonor Eggs) Elective single embryo transfers (eSET) per 100 cycles 35-37,Text,7
FshNDeSETRate3,(Fresh Nondonor Eggs) Elective single embryo transfers (eSET) per 100 cycles 38-40,Text,7
FshNDeSETRate4,(Fresh Nondonor Eggs) Elective single embryo transfers (eSET) per 100 cycles 41-42,Text,7
FshNDeSETRate5,(Fresh Nondonor Eggs) Elective single embryo transfers (eSET) per 100 cycles 43-44,Text,7
FshNDeSETRate6,(Fresh Nondonor Eggs) Elective single embryo transfers (eSET) per 100 cycles >44,Text,7
FshNDHealthSnglLBRate1,(Fresh Nondonor Eggs) Healthy Singleton live births per 100 cycles <35,Text,7
FshNDHealthSnglLBRate2,(Fresh Nondonor Eggs) Healthy Singleton live births per 100 cycles 35-37,Text,7
FshNDHealthSnglLBRate3,(Fresh Nondonor Eggs) Healthy Singleton live births per 100 cycles 38-40,Text,7
FshNDHealthSnglLBRate4,(Fresh Nondonor Eggs) Healthy Singleton live births per 100 cycles 41-42,Text,7
FshNDHealthSnglLBRate5,(Fresh Nondonor Eggs) Healthy Singleton live births per 100 cycles 43-44,Text,7
FshNDHealthSnglLBRate6,(Fresh Nondonor Eggs) Healthy Singleton live births per 100 cycles >44,Text,7
FshNDSnglLBRate1,(Fresh Nondonor Eggs) Singleton live births per 100 cycles <35,Text,7
FshNDSnglLBRate2,(Fresh Nondonor Eggs) Singleton live births per 100 cycles 35-37,Text,7
FshNDSnglLBRate3,(Fresh Nondonor Eggs) Singleton live births per 100 cycles 38-40,Text,7
FshNDSnglLBRate4,(Fresh Nondonor Eggs) Singleton live births per 100 cycles 41-42,Text,7
FshNDSnglLBRate5,(Fresh Nondonor Eggs) Singleton live births per 100 cycles 43-44,Text,7
FshNDSnglLBRate6,(Fresh Nondonor Eggs) Singleton live births per 100 cycles >44,Text,7
FshNDTwinlLBRate1,(Fresh Nondonor Eggs) Twin live births per 100 cycles <35,Text,7
FshNDTwinlLBRate2,(Fresh Nondonor Eggs) Twin live births per 100 cycles 35-37,Text,7
FshNDTwinlLBRate3,(Fresh Nondonor Eggs) Twin live births per 100 cycles 38-40,Text,7
FshNDTwinlLBRate4,(Fresh Nondonor Eggs) Twin live births per 100 cycles 41-42,Text,7
FshNDTwinlLBRate5,(Fresh Nondonor Eggs) Twin live births per 100 cycles 43-44,Text,7
FshNDTwinlLBRate6,(Fresh Nondonor Eggs) Twin live births per 100 cycles >44,Text,7
FshNDLvBirthsRate1,(Fresh Nondonor Eggs) Live births per 100 cycles <35,Text,7
FshNDLvBirthsRate2,(Fresh Nondonor Eggs) Live births per 100 cycles 35-37,Text,7
FshNDLvBirthsRate3,(Fresh Nondonor Eggs) Live births per 100 cycles 38-40,Text,7
FshNDLvBirthsRate4,(Fresh Nondonor Eggs) Live births per 100 cycles 41-42,Text,7
FshNDLvBirthsRate5,(Fresh Nondonor Eggs) Live births per 100 cycles 43-44,Text,7
FshNDLvBirthsRate6,(Fresh Nondonor Eggs) Live births per 100 cycles >44,Text,7
FshNDPregRate1,(Fresh Nondonor Eggs) Pregnancies per 100 cycles <35,Text,7
FshNDPregRate2,(Fresh Nondonor Eggs) Pregnancies per 100 cycles 35-37,Text,7
FshNDPregRate3,(Fresh Nondonor Eggs) Pregnancies per 100 cycles 38-40,Text,7
FshNDPregRate4,(Fresh Nondonor Eggs) Pregnancies per 100 cycles 41-42,Text,7
FshNDPregRate5,(Fresh Nondonor Eggs) Pregnancies per 100 cycles 43-44,Text,7
FshNDPregRate6,(Fresh Nondonor Eggs) Pregnancies per 100 cycles >44,Text,7
FshNDTransfers1,(Fresh Nondonor Eggs) Number of transfers <35,Text,5
FshNDTransfers2,(Fresh Nondonor Eggs) Number of transfers 35-37,Text,5
FshNDTransfers3,(Fresh Nondonor Eggs) Number of transfers 38-40,Text,5
FshNDTransfers4,(Fresh Nondonor Eggs) Number of transfers 41-42,Text,5
FshNDTransfers5,(Fresh Nondonor Eggs) Number of transfers 43-44,Text,5
FshNDTransfers6,(Fresh Nondonor Eggs) Number of transfers >44,Text,5
FshNDHealthSnglLB_TransRate1,(Fresh Nondonor Eggs) Healthy Singleton live births per 100 transfers <35,Text,7
FshNDHealthSnglLB_TransRate2,(Fresh Nondonor Eggs) Healthy Singleton live births per 100 transfers 35-37,Text,7
FshNDHealthSnglLB_TransRate3,(Fresh Nondonor Eggs) Healthy Singleton live births per 100 transfers 38-40,Text,7
FshNDHealthSnglLB_TransRate4,(Fresh Nondonor Eggs) Healthy Singleton live births per 100 transfers 41-42,Text,7
FshNDHealthSnglLB_TransRate5,(Fresh Nondonor Eggs) Healthy Singleton live births per 100 transfers 43-44,Text,7
FshNDHealthSnglLB_TransRate6,(Fresh Nondonor Eggs) Healthy Singleton live births per 100 transfers >44,Text,7
FshNDSnglLB_TransRate1,(Fresh Nondonor Eggs) Singleton live births per 100 transfers <35,Text,7
FshNDSnglLB_TransRate2,(Fresh Nondonor Eggs) Singleton live births per 100 transfers 35-37,Text,7
FshNDSnglLB_TransRate3,(Fresh Nondonor Eggs) Singleton live births per 100 transfers 38-40,Text,7
FshNDSnglLB_TransRate4,(Fresh Nondonor Eggs) Singleton live births per 100 transfers 41-42,Text,7
FshNDSnglLB_TransRate5,(Fresh Nondonor Eggs) Singleton live births per 100 transfers 43-44,Text,7
FshNDSnglLB_TransRate6,(Fresh Nondonor Eggs) Singleton live births per 100 transfers >44,Text,7
FshNDTwinLB_TransRate1,(Fresh Nondonor Eggs) Twin live births per 100 transfers <35,Text,7
FshNDTwinLB_TransRate2,(Fresh Nondonor Eggs) Twin live births per 100 transfers 35-37,Text,7
FshNDTwinLB_TransRate3,(Fresh Nondonor Eggs) Twin live births per 100 transfers 38-40,Text,7
FshNDTwinLB_TransRate4,(Fresh Nondonor Eggs) Twin live births per 100 transfers 41-42,Text,7
FshNDTwinLB_TransRate5,(Fresh Nondonor Eggs) Twin live births per 100 transfers 43-44,Text,7
FshNDTwinLB_TransRate6,(Fresh Nondonor Eggs) Twin live births per 100 transfers >44,Text,7
FshNDLvBirths_TransRate1,(Fresh Nondonor Eggs) Live births per 100 transfers <35,Text,7
FshNDLvBirths_TransRate2,(Fresh Nondonor Eggs) Live births per 100 transfers 35-37,Text,7
FshNDLvBirths_TransRate3,(Fresh Nondonor Eggs) Live births per 100 transfers 38-40,Text,7
FshNDLvBirths_TransRate4,(Fresh Nondonor Eggs) Live births per 100 transfers 41-42,Text,7
FshNDLvBirths_TransRate5,(Fresh Nondonor Eggs) Live births per 100 transfers 43-44,Text,7
FshNDLvBirths_TransRate6,(Fresh Nondonor Eggs) Live births per 100 transfers >44,Text,7
FshNDTransPregRate1,(Fresh Nondonor Eggs) Pregnancies per 100 transfers <35,Text,7
FshNDTransPregRate2,(Fresh Nondonor Eggs) Pregnancies per 100 transfers 35-37,Text,7
FshNDTransPregRate3,(Fresh Nondonor Eggs) Pregnancies per 100 transfers 38-40,Text,7
FshNDTransPregRate4,(Fresh Nondonor Eggs) Pregnancies per 100 transfers 41-42,Text,7
FshNDTransPregRate5,(Fresh Nondonor Eggs) Pregnancies per 100 transfers 43-44,Text,7
FshNDTransPregRate6,(Fresh Nondonor Eggs) Pregnancies per 100 transfers >44,Text,7
ThwNDTotCycles1,(Frozen Nondonor Eggs) Number of cycles <35,Text,5
ThwNDTotCycles2,(Frozen Nondonor Eggs) Number of cycles 35-37,Text,5
ThwNDTotCycles3,(Frozen Nondonor Eggs) Number of cycles 38-40,Text,5
ThwNDTotCycles4,(Frozen Nondonor Eggs) Number of cycles 41-42,Text,5
ThwNDTotCycles5,(Frozen Nondonor Eggs) Number of cycles 43-44,Text,5
ThwNDTotCycles6,(Frozen Nondonor Eggs) Number of cycles >44,Text,5
ThwNDTransfers1,(Frozen Nondonor Eggs) Number of transfers <35,Text,5
ThwNDTransfers2,(Frozen Nondonor Eggs) Number of transfers 35-37,Text,5
ThwNDTransfers3,(Frozen Nondonor Eggs) Number of transfers 38-40,Text,5
ThwNDTransfers4,(Frozen Nondonor Eggs) Number of transfers 41-42,Text,5
ThwNDTransfers5,(Frozen Nondonor Eggs) Number of transfers 43-44,Text,5
ThwNDTransfers6,(Frozen Nondonor Eggs) Number of transfers >44,Text,5
ThwNDEstTransPerRetrievRate1,(Frozen Nondonor Eggs) Estimated average number of transfers per retrieval <35,Text,7
ThwNDEstTransPerRetrievRate2,(Frozen Nondonor Eggs) Estimated average number of transfers per retrieval 35-37,Text,7
ThwNDEstTransPerRetrievRate3,(Frozen Nondonor Eggs) Estimated average number of transfers per retrieval 38-40,Text,7
ThwNDEstTransPerRetrievRate4,(Frozen Nondonor Eggs) Estimated average number of transfers per retrieval 41-42,Text,7
ThwNDEstTransPerRetrievRate5,(Frozen Nondonor Eggs) Estimated average number of transfers per retrieval 43-44,Text,7
ThwNDEstTransPerRetrievRate6,(Frozen Nondonor Eggs) Estimated average number of transfers per retrieval >44,Text,7
ThwNDEmbryosRate1,(Frozen Nondonor Eggs) Average number of embryos transferred <35,Text,7
ThwNDEmbryosRate2,(Frozen Nondonor Eggs) Average number of embryos transferred 35-37,Text,7
ThwNDEmbryosRate3,(Frozen Nondonor Eggs) Average number of embryos transferred 38-40,Text,7
ThwNDEmbryosRate4,(Frozen Nondonor Eggs) Average number of embryos transferred 41-42,Text,7
ThwNDEmbryosRate5,(Frozen Nondonor Eggs) Average number of embryos transferred 43-44,Text,7
ThwNDEmbryosRate6,(Frozen Nondonor Eggs) Average number of embryos transferred >44,Text,7
ThwNDImplant1,(Frozen Nondonor Eggs) Implantation rate per 100 cycles <35,Text,7
ThwNDImplant2,(Frozen Nondonor Eggs) Implantation rate per 100 cycles 35-37,Text,7
ThwNDImplant3,(Frozen Nondonor Eggs) Implantation rate per 100 cycles 38-40,Text,7
ThwNDImplant4,(Frozen Nondonor Eggs) Implantation rate per 100 cycles 41-42,Text,7
ThwNDImplant5,(Frozen Nondonor Eggs) Implantation rate per 100 cycles 43-44,Text,7
ThwNDImplant6,(Frozen Nondonor Eggs) Implantation rate per 100 cycles >44,Text,7
ThwNDHealthSnglLB_TransRate1,(Frozen Nondonor Eggs) Healthy Singleton live births per 100 transfers <35,Text,7
ThwNDHealthSnglLB_TransRate2,(Frozen Nondonor Eggs) Healthy Singleton live births per 100 transfers 35-37,Text,7
ThwNDHealthSnglLB_TransRate3,(Frozen Nondonor Eggs) Healthy Singleton live births per 100 transfers 38-40,Text,7
ThwNDHealthSnglLB_TransRate4,(Frozen Nondonor Eggs) Healthy Singleton live births per 100 transfers 41-42,Text,7
ThwNDHealthSnglLB_TransRate5,(Frozen Nondonor Eggs) Healthy Singleton live births per 100 transfers 43-44,Text,7
ThwNDHealthSnglLB_TransRate6,(Frozen Nondonor Eggs) Healthy Singleton live births per 100 transfers >44,Text,7
ThwNDSnglLB_TransRate1,(Frozen Nondonor Eggs) Singleton live births per 100 transfers <35,Text,7
ThwNDSnglLB_TransRate2,(Frozen Nondonor Eggs) Singleton live births per 100 transfers 35-37,Text,7
ThwNDSnglLB_TransRate3,(Frozen Nondonor Eggs) Singleton live births per 100 transfers 38-40,Text,7
ThwNDSnglLB_TransRate4,(Frozen Nondonor Eggs) Singleton live births per 100 transfers 41-42,Text,7
ThwNDSnglLB_TransRate5,(Frozen Nondonor Eggs) Singleton live births per 100 transfers 43-44,Text,7
ThwNDSnglLB_TransRate6,(Frozen Nondonor Eggs) Singleton live births per 100 transfers >44,Text,7
ThwNDTwinLB_TransRate1,(Frozen Nondonor Eggs) Twin live births per 100 transfers <35,Text,7
ThwNDTwinLB_TransRate2,(Frozen Nondonor Eggs) Twin live births per 100 transfers 35-37,Text,7
ThwNDTwinLB_TransRate3,(Frozen Nondonor Eggs) Twin live births per 100 transfers 38-40,Text,7
ThwNDTwinLB_TransRate4,(Frozen Nondonor Eggs) Twin live births per 100 transfers 41-42,Text,7
ThwNDTwinLB_TransRate5,(Frozen Nondonor Eggs) Twin live births per 100 transfers 43-44,Text,7
ThwNDTwinLB_TransRate6,(Frozen Nondonor Eggs) Twin live births per 100 transfers >44,Text,7
ThwNDLvBirths_TransRate1,(Frozen Nondonor Eggs) Live births per 100 transfers <35,Text,7
ThwNDLvBirths_TransRate2,(Frozen Nondonor Eggs) Live births per 100 transfers 35-37,Text,7
ThwNDLvBirths_TransRate3,(Frozen Nondonor Eggs) Live births per 100 transfers 38-40,Text,7
ThwNDLvBirths_TransRate4,(Frozen Nondonor Eggs) Live births per 100 transfers 41-42,Text,7
ThwNDLvBirths_TransRate5,(Frozen Nondonor Eggs) Live births per 100 transfers 43-44,Text,7
ThwNDLvBirths_TransRate6,(Frozen Nondonor Eggs) Live births per 100 transfers >44,Text,7
ThwNDTransPregRate1,(Frozen Nondonor Eggs) Pregnancies per 100 transfers <35,Text,7
ThwNDTransPregRate2,(Frozen Nondonor Eggs) Pregnancies per 100 transfers 35-37,Text,7
ThwNDTransPregRate3,(Frozen Nondonor Eggs) Pregnancies per 100 transfers 38-40,Text,7
ThwNDTransPregRate4,(Frozen Nondonor Eggs) Pregnancies per 100 transfers 41-42,Text,7
ThwNDTransPregRate5,(Frozen Nondonor Eggs) Pregnancies per 100 transfers 43-44,Text,7
ThwNDTransPregRate6,(Frozen Nondonor Eggs) Pregnancies per 100 transfers >44,Text,7
TotBankingCycles1,Number of oocyte/embryo banking cycles reported by clinic <35,Text,5
TotBankingCycles2,Number of oocyte/embryo banking cycles reported by clinic 35-37,Text,5
TotBankingCycles3,Number of oocyte/embryo banking cycles reported by clinic 38-40,Text,5
TotBankingCycles4,Number of oocyte/embryo banking cycles reported by clinic 41-42,Text,5
TotBankingCycles5,Number of oocyte/embryo banking cycles reported by clinic 43-44,Text,5
TotBankingCycles6,Number of oocyte/embryo banking cycles reported by clinic >44,Text,5
FshDnrTotCycles,(Fresh Embryos from Donor Eggs) Number of cycles,Text,5
ThwDnrTotCycles,(Frozen Embryos from Donor Eggs) Number of cycles,Text,5
FshDnrTransfers,(Fresh Embryos from Donor Eggs) Number of transfers,Text,7
ThwDnrTransfers,(Frozen Embryos from Donor Eggs) Number of transfers,Text,7
FshDnrEmbryosRate,(Fresh Embryos from Donor Eggs) Average number of embryos transferred,Text,7
ThwDnrEmbryosRate,(Frozen Embryos from Donor Eggs) Average number of embryos transferred,Text,7
FshDnrImplant,(Fresh Embryos from Donor Eggs) Implantation rate per 100 cycles,Text,7
ThwDnrImplant,(Frozen Embryos from Donor Eggs) Implantation rate per 100 cycles,Text,7
FshDnrHealthSnglLB_TransRate,(Fresh Embryos from Donor Eggs) Health Singleton live births per 100 transfers,Text,7
ThwDnrHealthSnglLB_TransRate,(Frozen Embryos from Donor Eggs) Health Singleton live births per 100 transfers,Text,7
FshDnrSnglLB_TransRate,(Fresh Embryos from Donor Eggs) Singleton live births per 100 transfers,Text,7
ThwDnrSnglLB_TransRate,(Frozen Embryos from Donor Eggs) Singleton live births per 100 transfers,Text,7
FshDnrTwinLB_TransRate,(Fresh Embryos from Donor Eggs) Twin live births per 100 transfers,Text,7
ThwDnrTwinLB_TransRate,(Frozen Embryos from Donor Eggs) Twin live births per 100 transfers,Text,7
FshDnrLvBirths_TransRate,(Fresh Embryos from Donor Eggs) Live births per 100 transfers,Text,7
ThwDnrLvBirths_TransRate,(Frozen Embryos from Donor Eggs) Live births per 100 transfers,Text,7
FshDnrTransPregRate,(Fresh Embryos from Donor Eggs) Pregnancies  per 100 transfers,Text,7
ThwDnrTransPregRate,(Frozen Embryos from Donor Eggs) Pregnancies  per 100 transfers,Text,7
CurrClinNameAll,Current clinic name (Current Clinic Services and Profile),Text,255
DonorEgg,Donor Egg (Current Clinic Services and Profile),Text,3
DonorEmbryo,Donor Embryo (Current Clinic Services and Profile),Text,3
SingleWomen,Single Women (Current Clinic Services and Profile),Text,3
Surrogates,Gestational Carrier (Current Clinic Services and Profile),Text,3
Cryopreservation,Embryo cryopreservation (Current Clinic Services and Profile),Text,3
SART_Member,SART member (Current Clinic Services and Profile),Text,3
Accreditation,Verified lab accreditation (Current Clinic Services and Profile),Text,9
TotExcludedResearchCycles,Number of excluded cycles in which new procedures were evaluated,Text,5
State_code,"Postal code (i.e., 2-character state abbreviations)",Text,2
"*Data type for calculated variables has been defined as text to accommodate special characters including fraction signs, percentage signs, commas, and comparison operators such as 'greater than (>)' or 'less than (<)'",,,
